,region,numberpets,householdsize,homeowner,jobcategory,carbrand,log_car_val,log_hh_income,log_tot_debt,log_tot_value
2453,southeast,2,1,0,Professional,Foreign,10.30895266,11.1124479,13.40498266,4.860199926
2454,northeast,2,1,0,Sales,Foreign,10.15812977,10.51867319,11.51192496,3.391147046
2456,northeast,0,2,1,Professional,Foreign,9.655026193,10.59663473,11.42954386,8.126902369
2457,southeast,0,1,1,Professional,Foreign,10.54534144,11.22524339,13.24014641,2.931193752
2458,northeast,0,2,0,Professional,Foreign,10.72106231,11.48246626,13.67969083,7.418330871
2459,southeast,2,3,1,Professional,Domestic,9.367344121,10.08580911,12.03171926,8.328137008
2461,west,3,4,1,Crafts,Foreign,10.6666271,11.31447453,13.39391607,8.776236563
2463,northeast,1,1,1,Professional,Foreign,9.961756461,10.77895629,13.09149171,7.314219887
2464,southeast,3,2,1,Professional,Foreign,10.3609124,10.95080655,13.35775166,8.095080274
2466,southeast,0,4,0,Professional,Foreign,9.27799902,9.903487553,10.858999,6.434947722
2468,midwest,0,3,0,Sales,Foreign,9.27799902,9.798127037,10.71441777,5.331268467
2469,northeast,1,1,1,Crafts,Foreign,10.49127422,11.50287513,14.436732,8.146868367
2470,southwest,2,1,0,Labor,Domestic,8.895629627,9.61580548,11.2835123,3.667400422
2471,northeast,0,1,0,Professional,Foreign,9.517825072,10.23995979,11.92635874,6.932350326
2472,west,0,3,1,Sales,Foreign,9.259130536,10.04324949,12.51134903,4.962145085
2473,west,0,5,0,Labor,Domestic,9.433483923,9.998797732,11.83934737,5.268631056
2474,northeast,1,1,1,Sales,Domestic,10.03889219,10.51867319,13.2849923,5.774551546
2475,southwest,2,2,1,Crafts,Foreign,10.6237634,11.48246626,13.24032418,4.831508628
2476,southeast,0,2,1,Labor,Domestic,11.33020383,11.98915964,14.60655548,6.474739102
2477,southwest,4,5,1,Sales,Foreign,9.384293679,9.998797732,12.29133249,3.649358696
2478,west,3,7,1,Service,Domestic,11.31080928,12.53896706,15.42933882,8.603141504
2479,northeast,0,1,1,Professional,Domestic,9.803667217,10.57131693,13.27936713,4.302712828
2480,southwest,1,7,1,Professional,Domestic,9.975808214,10.6454249,13.53579666,6.258433578
2481,midwest,0,1,1,Crafts,Foreign,9.792555992,10.62132735,11.95632841,8.153579947
2482,northeast,3,3,0,Professional,Foreign,10.17732422,10.73639668,13.43775789,6.788464858
2483,northeast,3,1,1,Service,Domestic,10.63585545,11.46163217,14.40079409,9.01679203
2484,west,0,6,1,Sales,Foreign,9.705036614,10.30895266,12.58107855,7.900025089
2485,west,0,1,1,Service,Domestic,9.862665558,10.93310697,12.86462838,8.009595685
2486,midwest,0,2,1,Professional,Domestic,9.71111566,10.54534144,13.95978405,4.872904621
2487,west,0,1,0,Service,Domestic,9.893437217,10.79957558,13.14138138,6.439110726
2488,northeast,0,1,0,Agriculture,Foreign,8.794824928,9.680344001,11.79659952,5.31861007
2489,northeast,0,2,0,Sales,Foreign,9.082507,9.546812609,12.56234751,7.382622064
2491,southwest,0,1,0,Professional,Domestic,9.903487553,10.6454249,12.56234751,5.002939087
2492,northeast,1,5,1,Sales,Domestic,8.935903526,9.472704636,12.32917484,3.200711854
2493,southeast,2,1,0,Service,Domestic,10.47728798,11.1844214,12.94227932,8.113097146
2494,west,0,3,1,Professional,Foreign,9.487972109,10.16585182,11.81451044,7.70332366
2495,west,0,1,1,Professional,Foreign,11.1844214,11.83500896,12.24047407,7.669425221
2496,southeast,0,2,1,Sales,Domestic,10.31890299,11.12726298,10.90411943,6.60007456
2497,midwest,0,3,1,Crafts,Foreign,9.560997244,10.40426284,11.7905572,4.58394655
2498,midwest,0,2,0,Sales,Domestic,10.01681624,10.87804719,13.22942245,6.321577319
2499,midwest,0,4,1,Professional,Foreign,9.888373915,10.51867319,13.00357984,6.913240209
2500,northeast,1,7,1,Professional,Foreign,9.568014816,10.49127422,13.01700286,7.19608714
2501,midwest,0,3,0,Sales,Domestic,9.846917201,10.75790288,13.79285587,6.817830571
2505,midwest,0,4,1,Professional,Foreign,9.937888979,10.4341158,10.83958091,6.536908965
2506,west,2,2,1,Sales,Foreign,9.698920387,10.51867319,13.3751434,5.211942151
2508,west,0,2,1,Sales,Domestic,9.893437217,10.30895266,13.03024809,4.813403125
2509,southwest,2,2,1,Sales,Foreign,8.665613197,9.61580548,12.49500394,7.502545142
2510,midwest,3,2,1,Professional,Foreign,9.746833742,10.20359214,12.68013055,6.137727054
2511,west,3,2,0,Sales,Domestic,8.853665428,9.61580548,11.70766954,5.711915975
2512,midwest,0,4,1,Professional,Domestic,9.595602773,10.34174248,13.55258614,7.473438338
2513,southwest,1,7,1,Professional,Domestic,10.2646524,11.1844214,12.31582351,8.268885666
2514,southeast,2,1,1,Sales,Foreign,10.46880136,11.15625052,13.22311328,2.2300144
2515,west,1,4,1,Professional,Domestic,11.12873249,11.40756495,14.14193246,6.647558663
2516,northeast,2,2,1,Labor,Foreign,9.517825072,10.27505111,12.54717699,4.725616339
2517,west,1,1,1,Sales,Foreign,9.893437217,10.30895266,12.53896706,5.119788608
2518,southeast,1,2,1,Professional,Domestic,9.210340372,10.04324949,11.6324847,8.013425932
2519,southwest,1,1,1,Sales,Foreign,9.71111566,10.59663473,12.66349749,7.863728156
2520,midwest,0,6,1,Professional,Domestic,9.517825072,10.08580911,12.13993284,6.707839854
2521,midwest,0,4,1,Sales,Domestic,10.00784757,10.95080655,13.14803112,5.959715849
2522,northeast,0,5,1,Sales,Foreign,8.160518247,9.61580548,11.24504602,6.518778488
2523,midwest,0,4,1,Professional,Domestic,10.02127059,10.69194491,13.39999511,8.6694163
2524,northeast,0,2,1,Sales,Foreign,9.190137665,9.798127037,12.17767317,4.796203683
2525,northeast,6,4,0,Sales,Foreign,9.717157974,10.37349118,13.07485239,6.365696953
2526,midwest,0,1,1,Sales,Foreign,10.51325312,11.01862914,12.35363021,7.274860637
2527,southwest,0,4,1,Agriculture,Foreign,9.495519314,10.27505111,12.0996004,5.736894826
2528,southeast,3,1,1,Sales,Domestic,10.89302875,11.36210258,14.11576329,7.539160026
2529,southwest,0,1,0,Professional,Foreign,10.09410791,10.81977828,12.62806706,6.128723359
2530,northeast,0,3,1,Sales,Domestic,10.19988157,10.95080655,13.49240854,7.769589825
2531,southwest,0,2,1,Service,Domestic,11.07596969,11.91839057,14.69720985,8.184095255
2533,southeast,2,2,0,Professional,Foreign,11.07596969,11.66992921,13.96246397,6.91631851
2534,midwest,1,2,1,Crafts,Foreign,9.332558005,9.798127037,11.27973158,6.808045435
2535,northeast,0,1,1,Labor,Domestic,9.883284845,10.69194491,12.15055994,7.359849488
2536,southeast,0,1,1,Professional,Domestic,10.261162,10.83958091,13.47146975,5.523858042
2537,southwest,0,3,1,Professional,Foreign,8.71604405,9.392661929,10.70099475,3.238678452
2538,southeast,1,2,1,Professional,Domestic,9.480367509,10.20359214,12.6967976,7.513081664
2539,midwest,2,2,0,Crafts,Foreign,9.341368634,9.998797732,12.78996284,9.380159093
2540,northeast,7,1,1,Professional,Foreign,9.305650552,9.852194258,12.34539971,5.36994011
2541,midwest,0,4,1,Service,Foreign,9.341368634,10.27505111,12.74315064,6.106688756
2543,northeast,1,1,0,Sales,Foreign,9.37585481,10.04324949,12.56897814,3.271468275
2544,northeast,0,2,0,Sales,Foreign,10.07744086,10.54534144,12.75361585,5.300564839
2545,northeast,2,4,1,Professional,Foreign,11.21182037,11.87756858,13.46680378,6.86270561
2546,west,1,1,1,Service,Domestic,10.34174248,10.858999,13.1207621,8.177937083
2547,southwest,2,5,1,Sales,Foreign,9.409191231,10.27505111,12.48332552,5.625460508
2548,southwest,0,1,0,Professional,Domestic,10.95954023,11.79810441,14.82823811,7.054665524
2549,midwest,5,1,1,Labor,Domestic,11.19547123,11.8493977,13.95353186,7.242797923
2550,northeast,2,2,1,Professional,Foreign,10.30895266,11.21182037,13.40904495,6.71417053
2551,midwest,1,2,1,Crafts,Domestic,11.02353512,11.80559508,13.374211,7.22540869
2552,northeast,0,1,0,Service,Domestic,8.779557456,9.305650552,11.34687088,6.939980426
2553,midwest,2,2,0,Sales,Domestic,9.539644119,10.37349118,12.98356097,5.331268467
2554,west,3,5,1,Sales,Domestic,9.75846178,10.1266311,12.94203982,6.333457232
2555,southeast,1,2,1,Sales,Domestic,9.37585481,10.27505111,10.80567936,5.794232378
2556,southwest,0,1,1,Labor,Foreign,8.867850063,10.16585182,12.5817656,8.47335624
2557,west,0,2,1,Sales,Foreign,11.14764215,11.86358234,12.85683411,9.147134296
2558,west,0,2,1,Professional,Foreign,9.781319919,10.46310334,12.47800636,7.029264696
2559,northeast,0,6,1,Sales,Domestic,9.104979856,9.998797732,10.74073508,3.394508394
2560,west,2,3,1,Professional,Foreign,8.935903526,9.546812609,11.74403719,5.411869241
2561,southeast,0,1,1,Professional,Domestic,8.070906089,10.20359214,13.05429865,3.292126287
2562,southeast,2,1,0,Crafts,Domestic,11.30467053,11.71993963,13.36859826,7.028245757
2563,northeast,1,6,0,Sales,Domestic,8.476371197,9.546812609,12.10403992,7.497983406
2564,southeast,0,4,1,Professional,Domestic,8.732304571,9.61580548,10.02127059,5.416544748
2565,midwest,2,1,1,Labor,Domestic,10.21829829,10.59663473,12.54254488,8.558085583
2566,northeast,0,4,1,Professional,Domestic,9.190137665,10.16585182,11.29725393,7.069746569
2567,southwest,0,1,0,Labor,Domestic,11.02353512,11.8493977,15.05620095,7.503813198
2568,midwest,0,3,1,Sales,Domestic,9.384293679,10.04324949,12.49425459,5.945158794
2569,northeast,0,2,1,Sales,Foreign,9.024010794,9.61580548,11.71993963,7.757393256
2570,southeast,0,5,1,Sales,Domestic,10.27159687,10.49127422,11.77220806,7.080825844
2571,southeast,3,4,1,Sales,Foreign,9.45720045,10.1266311,12.98310131,3.514526067
2572,southeast,0,1,1,Labor,Foreign,9.883284845,10.23995979,12.56234751,8.1985982
2573,southeast,1,1,0,Sales,Foreign,11.34805082,11.91170158,12.00701176,4.708177936
2574,west,1,2,1,Labor,Foreign,10.0475879,10.93310697,14.31069449,7.12913728
2575,west,0,2,1,Professional,Foreign,10.72326738,11.2515607,14.03037997,6.380376742
2576,southwest,2,2,0,Service,Foreign,9.179881164,10.16585182,12.87390202,7.984547908
2577,midwest,0,3,1,Professional,Domestic,10.96474405,11.36210258,14.15938391,7.60822558
2578,southwest,4,2,1,Service,Foreign,10.20359214,10.54534144,11.67674355,5.077982368
2579,southeast,0,5,1,Sales,Domestic,9.686574551,10.73639668,12.07139774,5.560104541
2580,southwest,1,2,1,Service,Foreign,10.57131693,11.83500896,13.96324067,8.567220685
2581,northeast,1,6,1,Sales,Domestic,9.350102314,10.1266311,11.71586631,5.426270731
2582,northeast,2,1,0,Sales,Foreign,9.883284845,10.77895629,13.69672702,5.076110876
2583,midwest,3,2,1,Sales,Domestic,9.179881164,10.49127422,13.05622357,6.231071824
2584,southwest,3,2,0,Agriculture,Foreign,9.480367509,10.08580911,11.73446773,8.537270291
2585,northeast,0,1,1,Service,Domestic,9.717157974,10.49127422,12.39338174,8.218463653
2586,midwest,0,2,1,Professional,Domestic,10.27849345,10.93310697,13.64780171,6.252289165
2587,southeast,1,2,1,Sales,Domestic,9.305650552,10.34174248,13.22094094,5.799395639
2588,northeast,0,4,0,Labor,Foreign,9.746833742,10.27505111,12.61685692,5.356586275
2589,southeast,0,1,0,Labor,Foreign,9.723163998,10.4341158,12.32118545,8.624099512
2590,midwest,0,2,0,Labor,Foreign,9.661415991,10.66895539,12.84370712,5.710427017
2592,west,1,1,0,Sales,Domestic,8.433811582,9.104979856,10.89673933,5.176996831
2593,southeast,0,3,1,Professional,Foreign,10.42228135,11.30220443,13.9554464,8.159374737
2594,midwest,0,2,1,Crafts,Domestic,10.15424627,11.69524702,14.22894384,9.004490175
2595,northeast,0,3,1,Sales,Foreign,9.71111566,10.77895629,13.15850242,6.25709271
2596,midwest,0,1,0,Professional,Domestic,9.116029693,10.16585182,13.28821674,7.63317602
2597,west,1,2,1,Labor,Foreign,10.6666271,11.15625052,13.84409801,9.24865683
2598,northeast,0,1,0,Labor,Domestic,8.5754621,9.61580548,11.58988651,2.740840024
2599,west,0,3,0,Sales,Foreign,10.29890232,10.87804719,14.13614373,7.22660893
2600,southeast,0,1,1,Labor,Domestic,10.94376426,11.6351431,14.33650431,6.000919706
2601,west,0,1,0,Service,Foreign,9.873028345,10.34174248,12.65427791,4.691347882
2602,midwest,2,2,0,Agriculture,Foreign,9.786953736,10.40426284,13.19542795,3.895893623
2603,midwest,2,2,1,Crafts,Domestic,10.73203937,11.49272276,13.55958552,7.994025044
2604,northeast,1,2,1,Crafts,Domestic,9.287301413,9.903487553,12.46071486,5.706944138
2605,southeast,2,1,0,Crafts,Domestic,10.74073508,11.71177632,15.26426315,7.44410244
2606,northeast,2,4,1,Professional,Domestic,9.350102314,9.998797732,10.64065162,3.282789151
2607,southwest,2,2,1,Service,Domestic,10.87804719,11.79810441,13.20909138,8.765013745
2608,midwest,0,4,1,Service,Domestic,9.287301413,10.1266311,12.05815252,3.286534473
2609,southwest,1,2,1,Labor,Domestic,10.77895629,11.28978191,12.51355735,5.183467525
2610,midwest,1,6,1,Sales,Domestic,9.908475094,10.27505111,12.06681058,6.64242161
2611,west,0,4,1,Crafts,Domestic,9.230142999,10.04324949,11.07286891,4.078384543
2612,southwest,1,1,1,Professional,Domestic,9.179881164,9.998797732,11.2515607,3.677565694
2614,southwest,2,2,1,Sales,Foreign,9.989665249,10.62132735,12.52343487,7.604919381
2615,southeast,0,2,1,Crafts,Domestic,10.23995979,10.77895629,13.41084513,7.301080327
2616,southwest,0,4,1,Sales,Domestic,10.04324949,10.71441777,12.38212459,8.093599754
2617,west,0,4,1,Service,Foreign,9.648595303,10.59663473,10.77895629,6.81821343
2618,southeast,0,4,1,Sales,Domestic,10.63103616,11.32659589,14.11160713,7.818249242
2619,west,4,3,0,Labor,Foreign,10.4744671,10.858999,11.77528973,8.117133448
2620,southeast,1,2,0,Professional,Domestic,9.26860928,9.740968623,11.84510278,6.679347898
2621,northeast,0,2,0,Professional,Domestic,10.2853428,11.05089001,14.14193246,8.138199601
2622,southwest,0,4,1,Sales,Domestic,9.729134165,10.34174248,12.46997419,7.929180501
2624,northeast,1,3,0,Professional,Foreign,9.867860375,10.37349118,12.41471151,6.414523964
2625,southeast,0,2,1,Service,Foreign,10.14250445,10.79957558,12.21056255,8.616594989
2626,southeast,2,3,0,Crafts,Foreign,10.0475879,10.51867319,12.55989352,5.746203191
2627,southwest,2,2,1,Crafts,Domestic,10.70548914,11.14186178,13.69908909,8.421089697
2628,west,0,2,1,Sales,Foreign,10.3449631,10.75790288,13.25933883,4.151039906
2629,southeast,1,2,1,Professional,Domestic,9.46498259,10.27505111,12.44980283,8.551681571
2630,southeast,0,3,0,Professional,Foreign,8.824677891,9.61580548,11.70766954,3.521938999
2631,northeast,2,1,0,Sales,Domestic,9.179881164,9.740968623,11.12726298,3.840527004
2632,northeast,0,6,0,Sales,Foreign,9.893437217,10.30895266,11.71993963,4.418238017
2633,southeast,0,4,1,Labor,Domestic,10.33851146,10.98529272,13.65252093,7.857403415
2634,west,0,4,1,Agriculture,Domestic,9.957028319,10.71441777,14.09541244,8.048149102
2635,southeast,1,1,0,Crafts,Domestic,9.27799902,9.852194258,13.10643723,6.468707534
2636,southwest,0,3,1,Agriculture,Foreign,10.70099475,11.30220443,13.81990091,7.250245088
2637,northeast,0,1,0,Crafts,Foreign,10.64780302,11.30220443,13.29007878,7.098995281
2638,southwest,3,2,0,Sales,Foreign,9.200290036,10.23995979,12.69954863,6.48257204
2639,northeast,0,1,1,Sales,Foreign,9.867860375,10.98529272,12.93120287,4.401829262
2640,southwest,3,4,0,Labor,Domestic,9.674074388,10.16585182,12.42761492,7.821061562
2641,southeast,1,5,1,Labor,Foreign,9.952277717,10.75790288,13.61437309,5.079228086
2642,southeast,0,3,1,Professional,Domestic,9.384293679,10.08580911,12.75303732,3.389462125
2643,southwest,0,4,1,Sales,Domestic,9.332558005,10.08580911,12.03171926,4.414009681
2644,northeast,1,1,1,Crafts,Foreign,9.574983486,10.27505111,13.06006235,4.264087337
2645,west,0,3,1,Crafts,Foreign,10.68281243,11.26446411,13.30568443,5.954152012
2646,midwest,0,1,0,Sales,Domestic,10.19988157,11.40756495,13.44878528,4.440295543
2647,southeast,0,2,1,Professional,Domestic,10.25061708,10.75790288,11.09437512,5.649326289
2648,west,0,1,0,Sales,Domestic,9.937888979,10.34174248,12.92950652,6.642486801
2649,southeast,0,1,1,Sales,Foreign,9.239899174,9.852194258,11.79810441,4.357990057
2650,midwest,0,1,0,Professional,Foreign,9.433483923,10.04324949,10.95954023,3.899950424
2652,southeast,0,2,0,Sales,Domestic,9.655026193,10.46310334,12.78549106,7.514881501
2653,west,2,2,1,Professional,Foreign,10.23638197,10.95080655,13.3844199,7.827500039
2654,northeast,0,2,0,Sales,Foreign,8.748304912,9.210340372,10.71441777,5.681195976
2655,southeast,0,3,1,Sales,Foreign,9.698920387,9.998797732,11.87059991,5.184588601
2656,southeast,5,2,1,Service,Foreign,10.0604913,10.73639668,12.44114477,6.42963883
2657,southwest,2,3,0,Agriculture,Domestic,9.011889433,9.998797732,12.44114477,4.873287103
2658,west,3,4,0,Professional,Domestic,10.94022444,11.61728548,13.26594411,6.455827296
2659,west,1,1,1,Crafts,Foreign,10.90411943,11.41861479,14.00637882,6.088704682
2660,west,0,2,1,Sales,Foreign,9.971146201,10.73639668,12.72427102,6.900277389
2661,northeast,1,1,0,Sales,Foreign,9.169518377,10.16585182,12.4379777,6.607123047
2662,west,1,1,0,Professional,Domestic,9.92329018,10.59663473,11.82041016,6.21019839
2663,northeast,1,3,1,Agriculture,Foreign,10.6237634,11.33857208,13.68037788,8.688782362
2664,west,0,2,1,Professional,Domestic,8.03915739,9.104979856,11.8196746,8.813557464
2666,midwest,1,5,1,Sales,Foreign,9.082507,9.798127037,10.82774645,7.165686656
2668,northeast,2,1,0,Labor,Domestic,9.093806556,9.903487553,12.43718437,6.21250589
2669,southwest,0,5,1,Professional,Foreign,10.40426284,11.06663836,12.87492713,5.631032554
2671,midwest,1,5,0,Sales,Domestic,10.00784757,10.6454249,13.2406796,6.538646208
2672,midwest,0,1,1,Professional,Domestic,9.495519314,9.998797732,11.62803827,5.863204948
2673,southeast,0,3,0,Sales,Domestic,8.853665428,9.61580548,12.09234388,5.854498692
2674,southwest,2,2,0,Sales,Foreign,8.242756346,9.104979856,10.29890232,5.430441519
2675,southeast,0,1,0,Professional,Foreign,10.74073508,11.33857208,14.48272436,6.901485666
2676,southeast,0,4,1,Professional,Domestic,10.81977828,11.54248427,13.15192218,6.141392036
2677,west,0,1,1,Labor,Foreign,9.952277717,10.62132735,12.42961612,7.163598326
2678,southeast,2,1,0,Professional,Foreign,9.975808214,10.89673933,11.15910359,5.004617222
2679,west,0,2,1,Labor,Domestic,10.00784757,10.77895629,12.18994326,5.220626059
2680,southwest,8,1,1,Professional,Foreign,10.4744671,11.23848862,13.58029443,6.278615228
2681,west,0,5,1,Sales,Domestic,9.341368634,10.16585182,11.97414059,7.823865995
2682,midwest,2,1,1,Sales,Domestic,8.455317788,9.546812609,11.86920033,6.333989855
2684,northeast,0,1,1,Professional,Domestic,9.45720045,10.30895266,13.04332017,5.437861894
2686,southeast,1,1,1,Sales,Domestic,11.50489329,11.98292909,14.04979185,8.369504919
2687,midwest,0,1,1,Sales,Domestic,9.888373915,10.51867319,12.89821933,8.727551357
2688,northeast,0,1,0,Professional,Domestic,9.846917201,10.49127422,12.96781262,4.247065649
2689,midwest,0,1,0,Crafts,Foreign,8.999619341,9.903487553,12.08953883,4.117409835
2690,southwest,3,3,1,Labor,Domestic,9.104979856,9.740968623,12.1568824,6.524002738
2691,northeast,0,1,1,Sales,Foreign,8.999619341,9.798127037,11.98417831,5.454252168
2692,southwest,0,1,0,Professional,Domestic,11.0744205,11.61728548,13.22672339,5.946205641
2694,midwest,0,2,0,Professional,Foreign,9.648595303,10.27505111,12.96967829,5.127232442
2695,west,3,3,1,Service,Domestic,10.22918769,11.00209984,13.39086263,5.822749994
2696,west,0,1,1,Sales,Domestic,9.525151112,10.16585182,11.77528973,6.405806803
2697,midwest,0,1,1,Crafts,Foreign,10.8704714,11.33857208,13.91118431,7.593147467
2698,northeast,1,1,0,Labor,Domestic,10.2853428,10.96819829,13.64234694,7.100604558
2699,northeast,0,1,1,Sales,Domestic,9.472704636,10.54534144,13.39604794,6.640463896
2701,southeast,3,3,1,Professional,Foreign,9.287301413,10.08580911,10.91871823,6.603130486
2702,southwest,0,1,0,Sales,Domestic,8.411832676,9.305650552,10.49957302,7.797558288
2703,midwest,0,2,0,Professional,Domestic,10.83368119,11.5228758,11.01205017,6.930543641
2704,northeast,2,3,0,Crafts,Domestic,9.852194258,10.75790288,13.14666567,7.118664293
2705,southwest,0,1,0,Professional,Domestic,8.867850063,9.546812609,11.44892013,7.259995404
2706,northeast,0,1,1,Service,Domestic,11.0928542,12.10625231,15.28846415,6.871298742
2707,southwest,0,4,1,Professional,Domestic,9.846917201,10.87804719,12.26434155,4.351567427
2708,west,0,3,1,Sales,Foreign,8.853665428,10.08580911,10.87426647,6.505410298
2710,west,1,2,1,Crafts,Foreign,9.104979856,10.08580911,11.58988651,7.969824599
2711,midwest,0,1,1,Labor,Domestic,10.39513036,11.12726298,13.9426717,6.411489807
2712,southwest,4,2,0,Sales,Domestic,10.0475879,10.858999,13.29261235,7.342876272
2714,midwest,2,4,1,Crafts,Domestic,9.846917201,10.62132735,11.53761808,7.795831704
2715,west,0,2,1,Sales,Foreign,9.314700387,9.998797732,12.28118012,8.156954763
2716,northeast,0,2,1,Sales,Domestic,9.341368634,10.30895266,11.05089001,8.13938216
2717,southeast,2,1,1,Sales,Foreign,10.79137881,11.3736634,14.08835814,6.250264776
2718,midwest,0,2,1,Service,Foreign,9.093806556,9.680344001,10.74505474,4.420646206
2719,northeast,0,2,0,Service,Domestic,9.200290036,10.16585182,12.09737323,8.049570725
2720,southeast,2,3,1,Professional,Foreign,10.51596683,11.62625415,13.62773415,7.951788178
2721,southwest,0,1,0,Professional,Domestic,9.798127037,10.6454249,13.03418769,4.492561242
2722,midwest,0,1,1,Service,Foreign,10.50232405,11.1124479,12.81719599,6.792961521
2724,west,1,1,0,Agriculture,Domestic,11.12284146,11.77528973,12.65075847,6.180534118
2726,west,2,5,1,Sales,Domestic,9.525151112,9.903487553,12.04355372,6.594002979
2727,southeast,3,2,0,Professional,Domestic,9.546812609,10.30895266,12.49500394,2.944438979
2728,southeast,0,2,0,Agriculture,Foreign,8.665613197,9.472704636,11.48760766,3.412796518
2729,northeast,2,3,1,Professional,Domestic,9.350102314,10.1266311,10.81977828,3.659708077
2730,midwest,0,5,1,Service,Domestic,9.200290036,10.23995979,12.78156178,6.380546176
2731,west,1,5,1,Sales,Domestic,9.367344121,9.998797732,11.02841715,3.196630216
2732,southeast,5,2,1,Labor,Foreign,9.230142999,10.04324949,12.893956,4.574195382
2734,southwest,0,2,1,Professional,Domestic,11.26830288,12.04941884,14.5590181,6.743705767
2735,midwest,3,1,1,Professional,Domestic,10.31890299,10.858999,12.50765762,8.597232822
2736,midwest,0,1,1,Sales,Domestic,9.76995616,10.54534144,12.19400006,7.218616624
2737,southwest,0,1,0,Professional,Foreign,8.476371197,9.210340372,12.00762171,4.697749367
2738,northeast,0,2,0,Sales,Domestic,10.15034763,10.87804719,13.25759333,4.091841432
2739,west,3,2,1,Sales,Domestic,9.803667217,10.4341158,13.21912705,5.110782243
2740,midwest,4,2,0,Professional,Domestic,10.41631118,11.1124479,13.32072231,5.205104985
2741,midwest,0,2,1,Agriculture,Domestic,10.1064284,10.91508846,13.53975706,6.847208779
2742,west,0,1,0,Sales,Domestic,9.723163998,10.57131693,11.5645687,5.598607127
2743,midwest,0,7,1,Crafts,Foreign,9.581903928,10.27505111,14.03857411,5.631749272
2744,midwest,0,4,1,Professional,Domestic,9.367344121,9.903487553,10.73639668,4.880906187
2745,midwest,3,1,1,Labor,Domestic,9.705036614,10.16585182,11.57683879,9.217891788
2746,southwest,0,1,1,Agriculture,Foreign,10.22194128,10.71441777,10.49127422,6.487303429
2747,northeast,0,2,0,Service,Foreign,9.975808214,10.87804719,13.68140757,4.280824129
2748,southwest,1,1,1,Sales,Domestic,9.417354541,10.16585182,12.31761402,6.377406989
2749,west,3,4,0,Sales,Foreign,9.655026193,10.34174248,12.65427791,7.935515827
2750,southeast,0,4,1,Sales,Domestic,11.32418334,12.27839331,15.34178423,3.013080912
2751,southwest,0,1,0,Sales,Foreign,9.61580548,10.20359214,12.62839487,4.857484115
2752,southeast,0,5,1,Service,Foreign,8.342839804,9.680344001,10.63585545,7.303001687
2753,southeast,2,6,1,Labor,Domestic,9.933046355,10.6454249,13.70881582,5.97164442
2754,southeast,1,2,1,Crafts,Domestic,11.38053628,12.10071213,13.13033155,8.988564635
2755,southwest,3,2,1,Labor,Foreign,11.36210258,12.3327053,14.66484919,8.250815885
2756,southwest,4,1,0,Labor,Domestic,8.594154233,9.392661929,11.74403719,6.487227293
2757,southwest,0,2,0,Sales,Foreign,9.495519314,10.51867319,13.55842235,5.80121162
2759,west,0,1,1,Labor,Foreign,11.33618829,12.13350195,14.1213763,7.89809541
2760,southwest,1,1,0,Sales,Domestic,10.41331268,11.12726298,14.16701214,6.616199045
2762,southwest,1,2,1,Sales,Foreign,8.961879013,10.49127422,13.40362488,4.686750173
2763,midwest,2,1,1,Professional,Foreign,10.74935582,11.36210258,14.73627128,7.080110671
2764,northeast,1,1,1,Sales,Domestic,10.57643203,11.39639165,14.02828049,7.215534053
2765,southwest,4,1,0,Agriculture,Foreign,11.12284146,11.57119437,13.29396097,7.463965274
2766,west,0,1,1,Labor,Foreign,10.4744671,11.19821472,12.39213719,7.63438559
2768,southeast,0,1,0,Sales,Domestic,9.908475094,10.91508846,13.88036153,8.218234442
2770,southeast,0,2,1,Sales,Foreign,10.13855967,11.12726298,13.66886498,5.170768046
2771,midwest,3,1,1,Sales,Domestic,9.883284845,10.40426284,12.22881213,4.032469159
2772,northeast,0,4,1,Sales,Domestic,9.595602773,9.903487553,12.57071576,5.064176061
2773,southeast,3,1,0,Sales,Foreign,8.517193191,9.210340372,11.30220443,7.171042195
2774,midwest,2,2,0,Sales,Domestic,10.31228045,10.98529272,13.41890608,6.940512843
2775,southeast,0,2,1,Sales,Domestic,10.78103746,11.30220443,13.47695616,7.002428893
2776,southwest,2,6,1,Service,Foreign,8.630521877,9.546812609,12.38002595,5.784286614
2777,west,2,2,1,Sales,Foreign,9.249561085,10.04324949,12.3850553,6.927116632
2778,southwest,0,4,1,Sales,Domestic,11.06350847,11.48246626,14.14272579,4.948050419
2780,southwest,2,3,1,Sales,Foreign,10.29214554,11.03488966,13.60750189,7.043814723
2781,southwest,0,2,1,Labor,Domestic,10.71219307,11.3736634,12.92122591,7.616578939
2784,midwest,1,1,1,Agriculture,Foreign,10.3155972,10.81977828,12.4874851,7.638077813
2785,southeast,0,2,1,Service,Foreign,10.13062313,11.03488966,13.17495583,7.733683571
2786,west,2,4,1,Labor,Domestic,9.825526011,10.4341158,13.10826445,3.850147602
2787,southeast,1,4,0,Service,Foreign,11.14186178,11.7905572,14.57556844,8.133792856
2788,west,1,1,1,Service,Domestic,9.61580548,10.57131693,12.55919127,6.975600826
2789,midwest,1,2,0,Sales,Foreign,8.101677747,9.104979856,10.71441777,8.282723238
2790,southeast,0,1,0,Professional,Domestic,9.148464968,10.1266311,11.99843328,3.888754378
2792,west,1,2,1,Service,Foreign,10.56359488,11.09741002,13.95388023,4.767289035
2793,southwest,0,1,0,Sales,Domestic,9.674074388,10.46310334,13.00470533,5.044714608
